Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Report,Video,playerId
"Corbin Carroll","ARI","CF","A-",0,7,"","45+",2023,"Med","19.2","5' 10""","165","L","L","2019 Draft Rnd 1 (ARI)","Lakeside HS (WA)","Carroll was electric during his showcase summer, displaying consistent, high-quality, all-fields contact and surprising power. In addition to having plus pure speed, which will enable him to stay in center field, Carroll is also a sly, instinctive baserunner who presses action. He doesn't run on many balls and probably won't hit for home run power without a significant swing adjustment, which it may not be pertinent to make because Carroll is such a good hitter. He has a small, narrow frame that concerns some teams, but we think the requisite strength to make hard contact and stand up to a 162-game grind is present.","sUghxoNDJ4g","sa3010593"
"Tyler Freeman","CLE","SS","A+",0,6,"&uarr;","45+",2022,"Med","20.4","6' 0""","170","R","R","2017 Draft Rnd 2 (CLE)","Etiwanda HS (CA)","A young, polished, but relatively unexplosive high schooler, Freeman was a bit of a surprise second rounder in 2017 but has quickly become much more interesting thanks to a sterling 2018 season with Mahoning Valley. As a 19-year-old, he hit .352/.405/.511 for the Scrappers, torching even the loftiest of expectations set by scouts who saw him during extended spring training and mostly considered Freeman a future utility man. Fundamentally sound at short, he lacks the explosiveness and big arm strength scouts look for at the position, and we wonder if Freeman will hit for enough power to be an impact player at any other position. 
His early career strikeout rate (7.5% in about 450 PA) suggests his bat-to-ball skills are even more promising than amateur scouts anticipated, though he's also an aggressive swinger who has been hit by nearly twice as many pitches as he has walks so far. When scouts talk about a player having 'feel, polish, instincts' and the like, and the player has numbers like Freeman's contact rates, we typically round up on that player. In Freeman's case, we remain cautious because the eyeball scouts are so resolute in their skepticism of the power projection.","eOEmTzaPck0","sa3004755"
"Liover Peguero","ARI","SS","A-",0,8,"&uarr;","45+",2024,"High","18.8","6' 1""","160","R","R","2017 J2 (ARI)","Dominican Republic","Teams with Extended Spring coverage in Arizona were split as to which of the two Dbacks shortstop prospects they preferred until Geraldo Perdomo separated himself with his summer performance. Some teams were early Peguero advocates, citing his age, superior athleticism, and a build comparable to a young Jean Segura's. 
Like most of Arizona's teenage shortstop prospects, Peguero earned a late-summer promotion with early-season performance, slashing .309/.356/.457 in the DSL. His swing is shorter than a mid-inning station identification and Peguero takes good at-bats for someone his age, so there's big ceiling on the hit tool if his timing at the plate improves. He's also a rangy defender with a plus arm and at least average hands. He can go into the hole, backhand a ball, plant, and hose runners. The frame isn't favorable for power projection, but Peguero's hands are so quick that he might be able to pull and lift enough balls to actually produce some homers. His swing is not currently geared for that type of contact, though. Regardless, the bat and defensive ability is promising, as is the frame and athletic ability. He has everyday shortstop upside.","kBYfk4hzOdY","sa3005582"
"Triston McKenzie","CLE","RHP","AA",0,7,"&darr;","45+",2020,"Med","22.2","6' 5""","160","R","R","2015 Draft Rnd 1 (CLE)","Royal Palm Beach HS (FL)","McKenzie was a high-profile prep pitcher in south Florida before the 2015 draft, and the main question about him focused on his rail-thin 6-foot-5, 160 pound frame. If you thought he would put on a good bit of weight, then you could see him adding velocity to his 88-92 mph heater. But the question was whether he would have enough stuff and durability to start if he stayed about the same size. He's filled out some since the Indians took him in the comp round in 2015, but it looks like he's always going to be very thin. 
His velocity has crept up a bit to 90-93, hitting 95 mph, but the life, plane, deception, extension, and command combine to make the fastball an above average pitch now. The additional arm speed has helped his breaker improve; it flashes plus at times. And he's kept the positive attributes scouts originally noticed in his delivery and the athleticism, so the command may also end up being plus. The changeup is a 45, so his curve, pitchability, and deception are the carrying tools we think will turn him into a league average starter. McKenzie also had his first pro injury in 2018, and his strikeout rate was down in his first taste of Double-A, before he had upper back issues that have him on the shelf to start 2019. So long as his stuff in intact upon return, we think he's a No. 4 starter with a chance to be a No. 3.","SaiUEE5AOzQ","sa874760"
"Jon Duplantier","ARI","RHP","MLB",0,9,"&darr;","45+",2019,"High","25.3","6' 4""","225","R","R","2016 Draft Rnd 3 (ARI)","Rice","Duplantier had been injury free since college (when he dealt with shoulder problems), until 2018, when he had hamstring issues in the spring, and biceps tendinitis later in the summer. The lost innings resulted in an Arizona Fall League stint, during which Duplantier was arguably the best non-Whitley pitching prospect who was a lock to start. Despite the biceps issue, his velocity was fine in the fall. Duplantier sits 93-96 and makes heavy use of three good secondary pitches. The horizontal action on his slider only plays away from righties, but the curveball and changeup will help mitigate some of those issues, as well as the platoon issues that may arise from Duplantier's lower arm slot.","mlEmgiI4CV0","19546"
"Taylor Widener","ARI","RHP","AAA",0,10,"&darr;","45+",2019,"High","25.0","6' 0""","195","R","R","2016 Draft Rnd 12 (NYY)","South Carolina","He doesn't throw especially hard but the baseball appears to explode out of Widener's hand, and it often gets on hitters much quicker than they're expecting. Acquired in that massive, three-team, Steven Souza deal, Widener is a curvaceous 6-foot righty with several above-average pitches and average command. Much of the industry thought he was a reliever coming out of college, but the Yankees and Dbacks bought in on Widener as a starter, and they appear to have been correct.","hLU-GJ-aevE","sa918271"
"Nick Neidert","MIA","RHP","AAA",0,7,"","45+",2019,"Low","22.9","6' 1""","180","R","R","2015 Draft Rnd 2 (SEA)","Peachtree Ridge HS (GA)","A quintessential changeup/command righty, Neidert carved up Double-A hitters with surgical precision and ended his 2018 with a 25% strikeout rate and 5% walk rate in 152 innings. Big leaguers with similar peripherals and similarly below-average velocity include Zack Greinke (whom Neidert mimics, mechanically), Marco Gonzales, and Kyle Hendricks. There's precedent for success in spite of poor velocity, and several of those case studies tout changeups and fastball command, but many of them also involve a deeper repertoire than Neidert has, which is rounded out by a pedestrian curveball. Without something else, Neidert projects as more of a No. 4 or 5 starter than he does a mid-rotation arm. He's only 22, so there's a chance that happens. There's also a chance his changeup and command become elite and he mimics Kyle Hendricks' career very closely.","Hi4TiR7zIIw","sa874797"
"Bryson Stott","PHI","SS","A-",0,4,"","45+",2023,"High","22.1","6' 3""","195","L","R","2019 Draft Rnd 1 (PHI)","UNLV","Teams fall into one of three groups when evaluating Stott. There are teams that think, despite his size and atypical throwing stroke, that he'll stay at shortstop and hit for some power. Those teams are highest on him. Then there are teams that think he'll just do one of those and, finally, those who think he'll do neither. His swing is geared for low ball contact, and he hits pitches near his shoetops to all fields, with power. But the swing's length and bat path creates doubt that Stott will get to velocity up and/or in. Lefty-hitting shortstops with power are rare, and Stott has a shot to be one, but he's riskier than is typical for a college bat who has two years of strong numbers.","qccYljFGcVc","sa3011443"
"Luis Garcia","PHI","SS","A",0,5,"","45+",2023,"High","19.0","5' 11""","170","S","R","2017 J2 (PHI)","Dominican Republic","Garcia signed for the fifth highest bonus in the 2017 July 2nd class, among a few already-elite prospects like Rookie of the Year Shohei Ohtani, Rays shortstop Wander Franco, Diamondbacks outfielder Kristian Robinson and Mets shortstop Ronny Mauricio. Garcia could be next in line to jump into the 50 FV tier during the 2019 season, building on a solid pro debut in 2018, where he improved his already-impressive tool profile. To clarify any confusion, it's worth noting that there is another, very similar middle infield prospect with the Nationals of the same name who was also born in the same year. The Phillies' Garcia has an above average hit tool to go with above average speed, defense, and arm strength at shortstop, so it won't be a long journey to turn into a regular if he can maintain those current tools. He's played just 43 official minor league games and has an unsustainably-high .418 BABIP, but the performance also supports the standout skillset. Some scouts argue there isn't a plus tool here other than arm strength, so you can't stuff Garcia too high until he's done a little more in official games, but he's already among the top 200 prospects or so in baseball. Some see sneaky potential average raw power down the road, which Garcia could mostly get to in games if he ends up being the plus hitter that some are projecting, though some scouts see 45 hit and 40 power, given the limited pro looks they've had. It's also worth noting that Garcia has become close friends with Alec Bohm; the pair could team up to form half of the infield of the future in Philadelphia. Garcia will definitely be one to watch closely in 2019 as there's some in-season ceiling to his potential ranking, particularly if he can perform the way the Nationals' Luis Garcia did this past year; that Garcia reached High-A at age 18.","cVHO9Fx0oYc","sa3007295"
"Josh Lowe","TBR","CF","AA",0,8,"","45+",2021,"High","21.7","6' 4""","190","L","R","2016 Draft Rnd 1 (TBR)","Pope HS (GA)","Lowe was on the draft radar as a prep junior in the Atlanta area when he ran his heater up to 95 mph in a high profile playoff game 13 months before he was draft eligible. Throughout the summer, scouts realized that he was a clear top five round talent on the mound, but a truly elite prospect at the plate. Lowe flashed plus speed, a plus arm, and plus raw power from the left side, projecting as the rare big center fielder with hit and power tools. The concern was that Lowe's uphill, aggressive, power-oriented cut would limit his contact rate; after the Rays took him in the first round, his swing plane was flatter. In 2018, Lowe's older brother and fellow Rays farmhand, Nate, shockingly went from fringe prospect to passing his more famous sibling in prospect status. Josh hasn't put the loft back in his game swing, so he doesn't look much different than the No. 1 overall pick from his draft class, Phillies center fielder Mickey Moniak. Both posted solid, contact-oriented offensive seasons in the Florida State League at age 20 while playing a solid center field. The difference is that Lowe has plus raw power he could tap back into, while Moniak may eventually grow into just average raw power. Lowe is ticketed for Double-A in 2019 and has a very laid back demeanor, which can turn off some scouts, though others see it as a sign he can handle the grind of the game and break through like his older brother did last year.","FpeotjI5qYU","sa917926"
"Shane McClanahan","TBR","LHP","AA",0,9,"&uarr;","45+",2020,"High","22.5","6' 1""","173","L","L","2018 Draft Rnd 1 (TBR)","USF","McClanahan was barely seen the summer before his senior year in high school, pitching in the low-to-mid-80s in the lightly-scouted southwest corner of Florida, and committed to a smaller mid-major school. In his senior spring, things starting changing; he was getting into the low-90s, but it was still raw enough and abrupt enough of a change that it made sense for McClanahan to go to school, now committed to South Florida. He had another velo bump early in his college career, which eventually led to Tommy John surgery. Buzz grew in scouting circles as his post-surgery stuff was elite and after his first start of 2018, a heavily-scouted matchup with North Carolina, McClanahan looked like a top five overall pick. In that game, he hit 100 mph and flashed an above average slider and changeup along with enough feel to project as a starter. From then on, things started to unravel, until the Rays popped the local kid 31st overall. McClanahan had some minor issues -- a finger injury and fluctuating velo as weather and workload dictated -- but more worrisome to scouts were both his maturity and how he fared when his fastball was more of a 6 than an 8, and his command was a 3 or 4 instead of a 5. Most college pitchers can succeed with 55 or 60 stuff and below average command, but McClanahan struggled and showed it on the mound. The optimistic case is that a change of scenery, coaching, and workload (with less pressure) will help tease out that top five overall pick version of McClanahan, while the pessimistic case is that what we saw down the stretch is indicative of a future as a streaky power reliever with limited feel.","ntk-CU1Bo6A","sa3008547"
"Ryan Rolison","COL","LHP","A+",0,2,"&uarr;","45+",2021,"High","22.3","6' 2""","195","R","L","2018 Draft Rnd 1 (COL)","Ole Miss","Rolison was a big name out of high school, reportedly turning down seven figures to go to Ole Miss knowing he would be an eligible sophomore due to his age. He had an up-and-down sophomore spring. Rolison came out of the chute blazing hot and had top-10 pick buzz for the first month of the season, then slowly regressed. Scouts thought he needed a delivery adjustment in to make him more direct to the plate, a way to improve his fastball control. They also thought he was too reliant on his curveball. To that point, hitters late in the season would sit on the pitch, knowing he had trouble locating his fastball and that he barely threw his changeup. It led to some bad outings, including one at South Carolina where he allowed 11 runs. 
Since being drafted, Rolison has worked more frequently with all three of his pitches, throwing 66% of his pitches for strikes, and his velocity has remained in the 92-94 range even as he throws every fifth day (mostly) rather than once a week. He could end up with three above-average pitches and be a No. 4 or No. 4/5 starter.","ayEAfzM9lDo","sa3008244"
"Kyle Muller","ATL","LHP","AA",0,7,"","45+",2021,"Med","22.1","6' 6""","215","R","L","2016 Draft Rnd 2 (ATL)","Jesuit Prep HS (TX)","Muller is a big, athletic, aggressive lefty with a sturdy frame and above average stuff to go with average type command. He displayed raw power in high school that some scouts graded as a 70, so there's likely some real value above what most NL pitchers offer at the plate. He had a velocity dip after signing, which most seem to think stemmed from heavy usage in high school. That appeared to be the case, as his velocity was back up this spring after some training at Driveline. Muller isn't traditionally exciting since he doesn't have huge velocity or a crazy athletic and loose delivery, but lots of long-time starters have looked like this at this stage in their careers.","GHdft_9H-90","sa917931"
"Tristen Lutz","MIL","RF","R",0,2,"&darr;","45+",2022,"Med","21.2","6' 3""","210","R","R","2017 Draft Rnd 1 (MIL)","Martin HS (TX)","Lutz's 2018 foray into full-season ball (.272/.348/.477 in May, June and July) was bookended by two awful months (he hit .180 in April, .215 in August) resulting in a .245/.321/.421 line. Already at physical maturity, Lutz's huge power is the foundation of his profile. He's capable of hitting long home runs to left and center, and he has the raw strength to drive out mis-hit balls the opposite way. Everything else he does is average. Adept at identifying breaking balls in mid air, Lutz's moderate swing-and-miss issues stem from his mediocre bat control. This might limit his game power output, but the issues aren't so bad that we're worried about Lutz not hitting entirely. He has below-average range and instincts in right field, but his arm is plus. Lutz will likely start next season, age-20, at Hi-A. He projects as a middle-of-the-order power bat who provides little value on defense. ","HD5Gdv4-45Q","sa3004968"
"Josh Jung","TEX","3B","A",0,2,"","45+",2022,"Med","21.7","6' 2""","215","R","R","2019 Draft Rnd 1 (TEX)","Texas Tech","If he's going to get to all of his considerable raw power, then Jung (pronounced 'young') is probably going to need a swing change that enables him to pull the ball more consistently. He inside outs an awful lot of pitches, though Jung's strength and feel to hit enables a high quality of contact despite this. He's a .346/.452/.562 career hitter at Tech and has more walks than strikeouts over the past two years. Originally thought to be a risk to move to first base, Jung not only allayed those concerns but also played a passable college shortstop this season. He comfortably projects to third base in pro ball. He's a potential everyday player and likely goes somewhere in the middle of the first round.","RlBShzGPoCY","sa3011468"
"Sherten Apostel","TEX","3B","A+",0,3,"&uarr;","45+",2022,"High","20.6","6' 4""","213","R","R","2015 J2 (PIT)","Curacao","Apostel was pilfered from Pittsburgh as the PTBNL in the 2018 Keone Kela trade. Though he is a big-framed guy who has already begun to see time at first base, he's athletic for his size and should remain at third -- for a while, at least. The likelihood of this is bolstered by the polished nature of Apostel's bat. His feel for the strike zone and his timing are both impressive for his age, and he is adept at attacking early-count pitches he can drive, while taking tough strikes. It helps him run deep counts and walk as well as hit for power. These traits are conducive to quick development, which means Apostel has a better chance of reaching the majors while he's still limber enough to play third for much of his first six big league seasons. 
He could end up with a 50 bat, 60 power, high OBPs, and fine third base defense, which would make him a solid-average regular.","43b_eXfFXFA","sa917364"
"Leody Taveras","TEX","CF","AA",0,4,"&darr;","45+",2020,"Med","21.1","6' 1""","170","S","R","2015 J2 (TEX)","Dominican Republic","It's growing more difficult to reconcile Taveras' obvious physical tool with his complete lack of performance, even though he has been young for his level since his pro debut. He put on a show during Futures Game BP (though, somewhat suspiciously, everyone did), he has visually evident feel for contact supported by his lower strikeout rates, he runs well-enough to stay in center field. But in three pro seasons now he's hitting a collective .253/.315/.351 and it's starting to make teams antsy. When we passed around initial drafts of our Top 100, all but one source providing feedback on Taveras' ranking told us to move him down, some indicating he should be off, entirely. We still think he'd go somewhere in the first round were he draft eligible and that he has everyday tools, but so far as his stock throughout the industry is concerned, the clock is certainly ticking.","sxJR4Ast1fo","sa912520"
"Cole Winn","TEX","RHP","A",0,5,"&darr;","45+",2021,"Med","19.9","6' 2""","195","R","R","2018 Draft Rnd 1 (TEX)","Orange Lutheran HS (CA)","Before his senior year in high school, Winn moved from Colorado to Orange Lutheran, a powerhouse program in southern California. He steadily crept up boards in the spring as his stuff and command kept impressing, overriding concerns that he didn't have much projection or plus athleticism. 
Winn works 92-95, and hits 97 mph, with a flat-planed, rising fastball that fits well up in the strike zone and he mixes in a plus-flashing curveball that pairs well with it down in the strike zone. He also has an average slider and changeup, though there's a chance the change grows into a plus offering at some point. His command projects to be above average, as he already uses his smooth delivery to deliver pitches to fine locations rather than just over the plate. He was largely seen as the safest pick amongst the 2018 prep pitchers, a notoriously risky demographic. Texas has a deliberate approach to developing prep pitching with an onboarding process that includes a pro debut in instructional league, so Winn's actual regular season pro debut will come in 2019. He was throwing hard in the fall and could move quickly through the minors.","JTWvLDwruWs","sa3008662"
"Bubba Thompson","TEX","CF","A+",0,6,"","45+",2022,"High","21.4","6' 2""","180","R","R","2017 Draft Rnd 1 (TEX)","McGill-Toolen HS (AL)","Thompson played through some nagging lower body issues during his pro debut, which somewhat masked the physical tools that had so enamored amateur scouts during the spring. He got to camp early the following spring. It was assumed that Thompson, who was a pretty raw baseball player due to his two-sport high school background, would stay in Arizona during extended spring training, then head to an advanced rookie affiliate in the Northwest League. Instead, Texas sent him to Low-A and he had a surprisingly strong statistical year (.289/.344/.446) with an unsurprisingly high strikeout rate (29%). 
Like many of the power/speed center fielders on this list, Thompson is a high-risk prospect with big upside if he hits enough. Unlike several of them, he has a good statistical season on his resume.","KipPA56WeHo","sa3004140"
"Anderson Tejeda","TEX","SS","A+",0,7,"","45+",2021,"High","21.5","5' 11""","160","S","R","2014 J2 (TEX)","Dominican Republic","It's helpful to use the draft as a way of gauging where pro prospects fall on the FV continuum, and it's easier to do that when the player in question is of the appropriate age. On the brink of 21, Tejeda is the age of draftable college players. Coincidentally, this year's draft has a similar type of talent who is similarly aged in UNC-Wilmington shortstop, Greg Jones. Both Tejeda and Jones are speedy shortstops with rare power for the position who also have issues making contact. Tejeda is rangy and athletic, and has good defensive footwork and plenty of arm for the infield's left side. His hands are just okay, so evaluations of his defense can vary depending on what individual scouts think is important to play the position, and some teams want to see him tried in center field. 
Tejeda has plus-plus bat speed and his hands work in a tight, lift-friendly circle, but he's so explosive that at times he's out of control (this is where the strikeouts come from). He managed to get to the power at Hi-A in 2018, when he homered 19 times, and if he can stay at shortstop and continue to mash like that in games, he'll be a good everyday player. We have Greg Jones in the 45 FV tier of the 2019 draft, which puts him in the mid-to-late first round; we like Tejeda a bit more than that and think he'd be in the 10-15 range on a draft board. He'll move into the top 100 with continued statistical success at Double-A.","TdHxjNuX4iQ","sa872474"
"Tucupita Marcano","SDP","SS","A+",0,8,"","45+",2022,"Med","20.1","6' 0""","165","L","R","2016 J2 (SDP)","Venezuela","DSL and AZL stats are almost meaningless but Marcano's 60-to-25 walk-to-strikeout ratio in 2017 and '18 combined is so exceptional that it almost certainly says something about his plate discipline. That notion is supported by in-person looks at Marcano, who not only has good feel for the strike zone, but also has the hand-eye coordination and bat control to spoil tough pitches, and barrel mistakes. He is very slight of build, so much so that there's skepticism regarding his power projection that there is not for other players of similar age, skill, and level (like Brayan Rocchio with Cleveland), who have a better chance of developing pop. 
Excellent at both middle infield spots, Marcano has a shot to be a plus glove at short or second at peak. Even without power, a defensive wizard with high-end feel for contact who runs well is at least a good utility guy. If some pop comes, even if it's just a little, then there's everyday upside here.","","sa3002857"
"Jeisson Rosario","SDP","CF","A+",0,9,"","45+",2022,"Med","20.0","5' 11""","170","L","L","2016 J2 (SDP)","Dominican Republic","If your team of attractive thieves needs a grease man for The Big Heist, then consider Rosario, who is an acrobatic, top-of-the-scale athlete who has on-job robbery experience. A plus runner, Rosario's speed and athleticism help hide some of the circuitous routes he takes to fly balls, and he has the physical talent to be a plus defender in center field as he refines those. He tracks pitches well, walks a lot, and has terrific bat control, which leads to low-lying, all-fields contact. He's a potential leadoff hitter with a plus glove in center, a potential first-division regular. Some clubs think he'll eventually hit for power, but that would require a drastically different approach/style of hitting than Rosario currently employs, and there are a host of other things to refine before the Padres tweak a thing Rosario currently does pretty well. He'll be a 19-year-old at Hi-A all season, and could be a top 100 prospect by mid-summer.","tz3B5XbWgMc","sa3004146"
"Ryan Weathers","SDP","LHP","A",0,10,"","45+",2021,"Med","20.0","6' 2""","210","R","L","2018 Draft Rnd 1 (SDP)","Loretto HS (TN)","The Padres seemed to have the top tier of prep pitching in their mix at pick No. 7 during last year's draft. Though Weathers wasn't universally considered to be part of that contingent, it seemed San Diego thought he was. We believed the gap between pick seven and where Weathers would otherwise have been picked was sizable enough that San Diego might be able to cut a deal, but instead Weathers signed for slot, about $5.2 million. He is the son of former big league reliever David Weathers, and has been a known prospect of interest since his sophomore year of high school. 
Though he's not built like most prep prospects, Weathers is remarkably athletic and was a dynamite high school basketball player. His stuff waxed and waned during his senior spring, but when it was good, he had arguably the best present three-pitch mix, and pitch usage, in the 2018 prep pitching class. He's a short-strider, so the fastball is going to play down a bit due to poor extension, but otherwise he projects as a mid-rotation arm due to the quality of his secondaries, and, potentially, a quick-moving one. After 24 strong innings at Low-A to start the year, Weathers was shut down with a dead arm.","_NYKyhaRURs","sa3008436"
"Adrian Morejon","SDP","LHP","MLB",0,11,"","45+",2020,"High","20.7","5' 11""","165","R","R","2016 J2 (SDP)","Cuba","Morejon made three trips to the Injured List in 2018 and he's had a few other issues that have caused the Padres to throttle down his activity during the spring and fall. He has plus velocity, but loses a tick of perceived velo due to lack of extension, and his arm angle and spin direction are more conducive of sink/run that bat-missing rise. He will flash a plus changeup, and that pitch will likely be his best at maturity. The breaking stuff is closer to average. He was mechanically inconsistent this spring and has once again been placed on the IL with shoulder/back issues. There are days when Morejon's stuff and style of pitching resembles Jesus Luzardo's, but the injury stuff might force a bullpen move.","yM_8rrMBHNU","20039"
"Esteury Ruiz","SDP","2B","A+",0,13,"","45",2022,"High","20.7","6' 0""","150","R","R","2015 J2 (KCR)","Dominican Republic","The Alfonso Soriano comps to Ruiz are actually quite apt. Like Soriano, Ruiz has pole-to-pole power and feel for striking the ball in the air to all fields, he is similarly built, and he shares some mechanical traits with Soriano, though not the signature, one-handed finish. He's also not a good defensive infielder, and is so mistake-prone that there's a real possibility that Ruiz eventually moves to the outfield. He runs well enough to give center field a go if that becomes the case, but such a move is probably premature until or unless Ruiz's offensive performance forces a change so his glove can be ready when the bat is. 
The Padres acquired Ruiz from Kansas City in a 2017 six-player swap (Strahm, Wood, Ruiz for Cahill, Maurer, Buchter) just 21 games into his stateside pro debut. Then they skipped him over advanced rookie ball and sent him to Low-A the following spring. The Midwest League is tough on hitters and Ruiz's line was, in context, pretty good. His aggressive approach may start to be exploited at Hi-A, but once Ruiz gets his footing he could break out statistically.","PgBHF2I2c08","sa917030"
"Reggie Lawson","SDP","RHP","AA",0,14,"","45",2021,"High","22.2","6' 4""","205","R","R","2016 Draft Rnd 2 (SDP)","Victor Valley HS (CA)","Some teams moved off of Lawson when he had some injury issues as a high school senior, but the Padres found themselves flush with pool money after taking underslot prospects late in the first round (Hudson Potts and Eric Lauer), which enabled them to give Lawson $1.9 million in the second round, $1 million above slot. He has yet to spend any time on the IL as a pro. 
Lawson's velocity has climbed and his breaking ball, which was in the 68-72 mph range in high school, now has more power to it and rests in the mid-70s. He found a better changeup in 2018, quelling most concerns about him eventually winding up in the bullpen. His delivery isn't as fluid as it was in high school, but while Lawson doesn't have pinpoint, touch-and-feel command, his fastball lives in the zone and he throws enough strikes to start. He's enduring a walk uptick at Double-A early in 2019 but his rate of strikes (63%) is the same as last year, so the walk totals are probably going to regress to Lawson's career mean. He projects as a No. 4/5 starter, or a valuable reliever if he's pushed to the bullpen by the depth of talent on the rest of San Diego's staff.","GHRuOX42jYQ","sa917951"
"Austin Allen","SDP","C","MLB",0,15,"","45",2019,"High","25.8","6' 2""","220","L","R","2015 Draft Rnd 4 (SDP)","Florida Tech","Allen has faced questions about his long-term defensive home dating back to college, and those continued through last year after he struggled in front of pro scouts during the Arizona Fall League. The AFL is not a great place to evaluate catching, because guys are tired and forced to quickly learn an entirely new staff of pitchers, but independent of that qualifier, lots of teams simply don't think Allen can play back there due a lack of arm strength and/or receiving ability. Others think Allen is serviceable, and would gladly give up what he lacks on defense for what he'd provide at the catching position on offense: huge power, rare for the position. 
Allen elevates the ball with authority and has been doing so since college. He slugged .728 as a junior (while facing questions about competition quality in addition to the defensive stuff) and he has 50 or more extra base hits in each of the last two seasons. It's All-Star offensive ability for a catcher, it's just that most of the industry doesn't like him at the position. Perhaps what San Diego has done with Francisco Mejia (let him catch pitchers he can handle) will serve as precedent for what they may try with Allen, whose issues are admittedly different than Mejia's. They could let Allen catch pitchers who are adept at holding runners on their own, give him a start at first now and then, and let him take high-leverage at-bats off the bench against righties the rest of the time. That's a valuable role player, one who's arguably ready for prime time right now.","ygdkd-KMtXE","18083"
"Michel Baez","SDP","RHP","MLB",0,16,"","45",2020,"High","23.8","6' 8""","220","R","R","2016 J2 (SDP)","Cuba","After he shook off some initial rust in 2017, Baez's stuff and strike-throwing quickly flourished, enabling him to post a 10:1 strikeout to walk ratio at Low-A Fort Wayne. His fastball was in the 94-97 range, and his changeup was consistently plus or better all summer. A back issue put Baez behind during 2018 spring training, and while the Padres sent him to Hi-A in late-April, his stuff and command were just not as good as they were the year before. Instead of 94-97, Baez's fastball was more 92-95, and his walk rate tripled. We're in wait-and-see mode with Baez now. He had a mid-rotation look in 2017, but fourth starter stuff and fringe command last year. After sitting 92-95 early in the spring, Baez was shut down with shoulder inflammation. In early May, he was again 93-95 with his trademark changeup.","xtf9uJF1TpA","20100"
"Anderson Espinoza","SDP","RHP","A",0,17,"","45",2020,"High","21.6","6' 0""","170","R","R","2014 J2 (BOS)","Venezuela","Acquired from Boston for Drew Pomeranz in July 2016, Espinoza has only thrown 32 innings of affiliated ball for the Padres since the deal. Espinoza was 94-97 and flashed a plus changeup and curveball during his final spring training start of 2017. Between that outing and his first regular season start for Hi-A Lake Elsinore, he felt discomfort in his elbow and was shut down. After several weeks of rest and rehab, it was decided that he needed Tommy John surgery, which he had early in August. The timing wasn’t great, and Espinoza missed all of 2018 working back from surgery, then re-tore his elbow during the spring of 2019 and needed a second TJ. He has been spotted in a cast on the Peoria backfields. Espinoza has front-end stuff but even if it returns, he’ll have missed three years of reps that he desperately needed to polish his below-average control, increasing the likelihood that he's a reliever or backend starter.","LMN6OIaQsEA","sa872856"
"Anthony Kay","TOR","LHP","MLB",0,5,"","45",2021,"High","24.6","6' 0""","218","L","L","2016 Draft Rnd 1 (NYM)","UConn","21 months elapsed between when Kay signed his pro contract and when he finally threw a pitch in affiliated ball. UConn rode him hard during his junior year in Storrs. He faced 36 hitters in a March game the Huskies won 18-to-1. During conference tournament play, Kay threw a complete game, then pitched again during the tournament on three days rest; he threw 90 pitches amid an hour-long lightning delay. It was unsurprising when he blew out in the fall of 2016. When Kay finally returned last year, he looked markedly different than he did in college when he was a lefty changeup monster with mediocre velocity. Kay's fastball has ticked up and now sits at about 93 mph instead of peaking there, and his two-plane breaking ball is better. His once-dominant changeup has regressed. There's a strong chance Kay ends up as a good lefty reliever but if the changeup ever returns, he could be a No. 4 starter.","1aaC76-TmjE","20387"
"Adam Kloffenstein","TOR","RHP","A-",0,6,"","45",2022,"High","19.2","6' 5""","220","R","R","2018 Draft Rnd 3 (TOR)","Magnolia HS (TX)","Kloffenstein was the Blue Jays third pick in the 2018 draft from the same high school as Groshans, but it appears the Jays had the 12th and 88th overall picks evaluated much closer in talent than the picks themselves would indicate. Groshans got slightly below-slot bonus (17th highest in the draft) while Kloffenstein was well above-slot at $2.45 million (29th highest bonus). We ranked them 28th (Groshans) and 42nd (Kloffenstein) in our pre-draft rankings. Kloffenstein is a prototypical projection Texas arm, with a lanky frame, loose arm action, occasional mid-90s velo, and an above average breaking ball; some scouts saw parallels to Michael Kopech, projecting Kloffenstein to throw 100 mph in the next couple years. He didn't pitch much in pro ball or instructs as Toronto was managing his innings and getting him used to the pro schedule. Kloffenstein's main objectives will be to get more innings, stay healthy, and keep progressing, as he only showed mid-90s velocity and starter feel at times in the spring. Toronto's bet is a bit speculative, based on projection more than performance.","","sa3008578"
"Cole Roederer","CHC","CF","A",0,7,"","45",2022,"Med","20.1","6' 0""","175","L","L","2018 Draft Rnd 2 (CHC)","Hart HS (CA)","As a high school underclassman, Roederer looked like a hit-first tweener outfielder. He added a bunch of good weight and strength and had significantly more raw power when he arrived in the AZL after signing. He has already begun trading a little bit of contact for significantly more game power. With added mass and strength typically comes a reduction in straight line speed, but Roederer hasn't slowed down just yet and still looks like a possibility to stay in center, though most scouts who saw him in pro ball think he'll eventually move to left field. Regardless, there's a whole lot more bat here than there was on our pre-draft evaluation of Roederer, who has risen to the top of the promising teenage hitter group in this system because he has a chance to hit for average and power while the rest are likely to do just one of those.","ohp5N8Ys_Ik","sa3008184"
